statement,year,region,text,spd,cdu/csu,die linke,grüne,fdp,freie wähler bayern,ssw,wasg,npd,rep,familie,die tierschutzpartei,pbc,mlpd,büso,bp,psg,zentrum,adm,die violetten,dkp,dvu,fwd,ödp,piraten,rentner,rrp,die frauen,volksabstimmung,cm,50plus,auf,die grauen,ede,fbi,volksentscheide,fw freie wähler,newropeans,die partei,bgd,ddp,freie union,pro nrw,big,fbi freie wähler,rsb,tierschutzpartei,appd,b,pro deutschland,die freiheit,deutsche konservative,unabhängige,biw,bbl,dialog grundeinkommen,b+b,bip,freie wähler bremen,für bremerhaven,pdb,bü-mi,freie wähler,fbi/freie wähler,partei der vernunft,direkte demokratie,mud,frauenliste,die franken,bündnis 21/rrp,afd,partei der nichtwähler,die freiheit niedersachsen,bvb / freie wähler,dsu,kpd,hhbl,liberale,alfa,tierschutzallianz,bündnis c,die rechte,menschliche welt,graue panther,gesundheitsforschung,iii. weg,die einheit,fbm,pdv,sgp,allianz deutscher demokraten,b*,bge,dib,dm,du.,die humanisten,v-partei³,fbi/fwg,tierschutzliste,ad-demokraten nrw,aufbruch c,dbd,jed,schöner leben,reformer,lkr,z.sh,mut,ad-demokraten,wir,tierschutz hier!,die direkte!,diem25,liebe,nl,ökolinx,partei für die tiere,volt,adpm,blaue #teampetry,blaue #teampetry thüringen,ödp / familie ..,volt hamburg,tierschutz hier! hamburg,diebasis,eine für alle - partei,klimalistebw,w2020,bildet berlin!,die neuen demokraten,bündnis21,klimaliste berlin,mieterpartei,team todenhöfer,bürgerbewegung,pdf,lfk,freier horizont,fpa,klimaliste rlp e. v.,klimaliste st,wir2020
0,2002,deutschland,Haschisch und Marihuana sollen legalisiert werden.,1,1,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2002,deutschland,Die Bundeswehr soll die Polizei innerhalb Deutschlands unterstützen.,1,0,1.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2002,deutschland,Die Geschäfte sollen am Sonntag geöffnet sein.,1,1,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2002,deutschland,Die humane Genomforschung soll verboten werden.,1,1,2.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2002,deutschland,Kampfhunde sollten verboten werden.,0,0,1.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2002,deutschland,Sterbehilfe sollte in Deutschland legalisiert werden.,1,1,2.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2002,deutschland,"Volksinitiativen, Volksbegehren und Volksentscheide werden auf Bundesebene eingeführt.",0,1,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2002,deutschland,Das aktive Wahlrecht wird auf 16 Jahre gesenkt.,1,1,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2002,deutschland,Der Bundespräsident sollte vom Volk direkt gewählt werden.,1,1,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2002,deutschland,Für Zuwanderer soll es verpflichtende staatliche Integrationsangebote und -kurse geben.,0,0,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
